"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","1","49","0"
"Team","","","0","0","5","0","0"
"Settings","Profile","","0","0","9","0","0"
"Folders","Free user","","0","0","3","0","0"
"Folders","","","0","0","2","0","0"
"Templates","","","0","0","3","0","0"
"Settings","Company","","0","0","2","0","0"
"Technical Test","","","0","0","1","0","0"
"Authorization","API","","0","0","3","0","0"
"Forms","","","0","0","1","0","0"
"Forms","API","","0","0","3","0","0"
